variant,variant_key,case_id,case_order,domain,scc_id,scc_size,scc_bin,template,invalid,root_at_3,risk_any,risk_all,risk_coverage,compression,core_size,result_file
No pair closure in final core (replay),no-pair-closure-final-core,03_bgb25_scc_3_direct_mutex,3,bgb,scc_3,25,large (20-34),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/03_bgb25_scc_3_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/04_cuad25_scc_17_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.8,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/04_cuad25_scc_17_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/04_cuad25_scc_17_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,04_cuad25_scc_17_direct_mutex,4,cuad,scc_17,25,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/04_cuad25_scc_17_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/05_cuad24_scc_21_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.8333333333333334,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/05_cuad24_scc_21_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/05_cuad24_scc_21_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,05_cuad24_scc_21_direct_mutex,5,cuad,scc_21,24,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/05_cuad24_scc_21_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.55,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/06_cuad20_scc_28_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.7,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/06_cuad20_scc_28_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.55,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/06_cuad20_scc_28_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,06_cuad20_scc_28_direct_mutex,6,cuad,scc_28,20,large (20-34),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.55,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/06_cuad20_scc_28_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/07_cuad18_scc_6_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.8888888888888888,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/07_cuad18_scc_6_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/07_cuad18_scc_6_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/07_cuad18_scc_6_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,18,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/08_sec_ex2118_scc_3_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,18,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.7777777777777778,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/08_sec_ex2118_scc_3_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,18,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/08_sec_ex2118_scc_3_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,18,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/08_sec_ex2118_scc_3_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,False,True,True,1.0,0.5294117647058824,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/09_cuad17_scc_0_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.5,0.6470588235294117,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/09_cuad17_scc_0_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,False,True,True,1.0,0.5294117647058824,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/09_cuad17_scc_0_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,False,True,True,1.0,0.5294117647058824,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/09_cuad17_scc_0_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/10_cuad16_scc_23_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.875,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/10_cuad16_scc_23_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/10_cuad16_scc_23_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/10_cuad16_scc_23_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/11_cuad14_scc_8_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.8571428571428572,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/11_cuad14_scc_8_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/11_cuad14_scc_8_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,0.5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/11_cuad14_scc_8_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/12_cuad12_scc_50_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.6666666666666667,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/12_cuad12_scc_50_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/12_cuad12_scc_50_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,medium (12-18),cuad_direct_no_fee_vs_fee_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/12_cuad12_scc_50_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,medium (12-18),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/13_debian12_scc_8_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,medium (12-18),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.8333333333333334,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/13_debian12_scc_8_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,medium (12-18),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/13_debian12_scc_8_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,medium (12-18),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/13_debian12_scc_8_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/14_sec_ex2112_scc_2_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.75,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/14_sec_ex2112_scc_2_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/14_sec_ex2112_scc_2_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,medium (12-18),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/14_sec_ex2112_scc_2_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/15_bgb11_scc_0_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.7272727272727273,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/15_bgb11_scc_0_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/15_bgb11_scc_0_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/15_bgb11_scc_0_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,small (9-11),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/16_debian11_scc_23_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,small (9-11),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.8181818181818181,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/16_debian11_scc_23_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,small (9-11),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/16_debian11_scc_23_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,small (9-11),debian_direct_legacy_vs_new_abi_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/16_debian11_scc_23_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,11,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/17_sec_ex2111_scc_3_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,11,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5,0.8181818181818181,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/17_sec_ex2111_scc_3_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,11,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/17_sec_ex2111_scc_3_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,11,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.5454545454545454,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/17_sec_ex2111_scc_3_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,10,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5,0.5,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/18_sec_ex2110_scc_7_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,10,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.8,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/18_sec_ex2110_scc_7_direct_mutex__monotone-core.json
