variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file,subset,canonical_scc_size,canonical_scc_size_bin,canonical_domain,canonical_scc_id,canonical_template,canonical_case_order
Full SA-MCGS (locked main),full-sa-mcgs-locked,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,7,,,,296.60127997398376,18,21,2,1,14,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__full-sa-mcgs-locked.json,main20,14,medium (12-18),cuad,scc_8,cuad_direct_no_fee_vs_fee_critical,11
Full SA-MCGS (locked main),full-sa-mcgs-locked,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,,,,275.5985231399536,18,18,2,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__full-sa-mcgs-locked.json,main20,12,medium (12-18),cuad,scc_50,cuad_direct_no_fee_vs_fee_critical,12
Full SA-MCGS (locked main),full-sa-mcgs-locked,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,,,,159.49510192871094,18,15,4,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__full-sa-mcgs-locked.json,main20,12,medium (12-18),debian,scc_8,debian_direct_legacy_vs_new_abi_critical,13
Full SA-MCGS (locked main),full-sa-mcgs-locked,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,6,,,,168.7341821193695,18,17,1,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/14_sec_ex2112_scc_2_direct_mutex__full-sa-mcgs-locked.json,main20,12,medium (12-18),sec_ex21,scc_2,sec_direct_full_consolidation_vs_retained_interest_critical,14
Full SA-MCGS (locked main),full-sa-mcgs-locked,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,,,,191.06909799575806,18,16,2,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/15_bgb11_scc_0_direct_mutex__full-sa-mcgs-locked.json,main20,11,small (9-11),bgb,scc_0,bgb_direct_timely_cure_vs_extra_charge_critical,15
Full SA-MCGS (locked main),full-sa-mcgs-locked,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5454545454545454,5,,,,150.96577501296997,18,8,0,1,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/16_debian11_scc_23_direct_mutex__full-sa-mcgs-locked.json,main20,11,small (9-11),debian,scc_23,debian_direct_legacy_vs_new_abi_critical,16
Full SA-MCGS (locked main),full-sa-mcgs-locked,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5454545454545454,5,,,,173.62228989601135,18,12,2,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/17_sec_ex2111_scc_3_direct_mutex__full-sa-mcgs-locked.json,main20,11,small (9-11),sec_ex21,scc_3,sec_direct_full_consolidation_vs_retained_interest_critical,17
Full SA-MCGS (locked main),full-sa-mcgs-locked,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5,5,,,,153.81014728546143,18,8,0,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/18_sec_ex2110_scc_7_direct_mutex__full-sa-mcgs-locked.json,main20,10,small (9-11),sec_ex21,scc_7,sec_direct_full_consolidation_vs_retained_interest_critical,18
Full SA-MCGS (locked main),full-sa-mcgs-locked,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.4444444444444444,5,,,,320.4360809326172,18,13,1,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/19_bgb9_scc_7_direct_mutex__full-sa-mcgs-locked.json,main20,9,small (9-11),bgb,scc_7,bgb_direct_timely_cure_vs_extra_charge_critical,19
Full SA-MCGS (locked main),full-sa-mcgs-locked,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,9,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.4444444444444444,5,,,,144.61453700065613,18,9,1,2,17,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/20_sec_ex219_scc_5_direct_mutex__full-sa-mcgs-locked.json,main20,9,small (9-11),sec_ex21,scc_5,sec_direct_full_consolidation_vs_retained_interest_critical,20
Full SA-MCGS (locked main),full-sa-mcgs-locked,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,,,,270.9233169555664,18,13,22,8,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__full-sa-mcgs-locked.json,long20,34,large (20-34),cuad,scc_11,cuad_condition_trigger_unconfirmed_exception_critical,21
Full SA-MCGS (locked main),full-sa-mcgs-locked,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5294117647058824,16,,,,333.6160891056061,18,12,21,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__full-sa-mcgs-locked.json,long20,34,large (20-34),cuad,scc_11,cuad_handoff_invariant_payment_status_critical,22
Full SA-MCGS (locked main),full-sa-mcgs-locked,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5294117647058824,16,,,,236.6475830078125,18,17,17,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__full-sa-mcgs-locked.json,long20,34,large (20-34),cuad,scc_11,cuad_temporal_notice_receipt_gate_critical,23
Full SA-MCGS (locked main),full-sa-mcgs-locked,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5357142857142857,13,,,,280.2105121612549,18,23,13,5,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__full-sa-mcgs-locked.json,long20,28,large (20-34),cuad,scc_39,cuad_condition_trigger_unconfirmed_exception_critical,24
Full SA-MCGS (locked main),full-sa-mcgs-locked,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,,,,270.2318608760834,18,22,18,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__full-sa-mcgs-locked.json,long20,28,large (20-34),cuad,scc_39,cuad_handoff_invariant_payment_status_critical,25
Full SA-MCGS (locked main),full-sa-mcgs-locked,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5357142857142857,13,,,,207.99131202697754,18,22,14,5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__full-sa-mcgs-locked.json,long20,28,large (20-34),cuad,scc_39,cuad_temporal_notice_receipt_gate_critical,26
Full SA-MCGS (locked main),full-sa-mcgs-locked,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical,False,False,True,False,0.52,12,,,,191.78118419647217,18,25,6,3,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/27_bgb25_scc_3_condition_trigger__full-sa-mcgs-locked.json,long20,25,large (20-34),bgb,scc_3,bgb_condition_trigger_pending_notice_critical,27
Full SA-MCGS (locked main),full-sa-mcgs-locked,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,bgb_handoff_invariant_cure_class_critical,False,True,True,False,0.52,12,,,,272.30370688438416,18,23,8,4,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/28_bgb25_scc_3_handoff_invariant__full-sa-mcgs-locked.json,long20,25,large (20-34),bgb,scc_3,bgb_handoff_invariant_cure_class_critical,28
Full SA-MCGS (locked main),full-sa-mcgs-locked,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,bgb_temporal_grace_period_gate_critical,False,False,True,False,0.52,12,,,,253.14490604400635,18,33,1,2,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/29_bgb25_scc_3_temporal_gate__full-sa-mcgs-locked.json,long20,25,large (20-34),bgb,scc_3,bgb_temporal_grace_period_gate_critical,29
Full SA-MCGS (locked main),full-sa-mcgs-locked,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.52,12,,,,382.6533818244934,18,23,9,5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/30_cuad25_scc_17_condition_trigger__full-sa-mcgs-locked.json,long20,25,large (20-34),cuad,scc_17,cuad_condition_trigger_unconfirmed_exception_critical,30
Full SA-MCGS (locked main),full-sa-mcgs-locked,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.52,12,,,,371.7752249240875,18,21,12,1,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/31_cuad25_scc_17_handoff_invariant__full-sa-mcgs-locked.json,long20,25,large (20-34),cuad,scc_17,cuad_handoff_invariant_payment_status_critical,31
Full SA-MCGS (locked main),full-sa-mcgs-locked,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.52,12,,,,356.59743785858154,18,22,10,4,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/32_cuad25_scc_17_temporal_gate__full-sa-mcgs-locked.json,long20,25,large (20-34),cuad,scc_17,cuad_temporal_notice_receipt_gate_critical,32
Full SA-MCGS (locked main),full-sa-mcgs-locked,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5416666666666667,11,,,,227.80019521713257,18,31,22,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/33_cuad24_scc_21_condition_trigger__full-sa-mcgs-locked.json,long20,24,large (20-34),cuad,scc_21,cuad_condition_trigger_unconfirmed_exception_critical,33
Full SA-MCGS (locked main),full-sa-mcgs-locked,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5416666666666667,11,,,,261.7561538219452,18,22,25,8,56,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/34_cuad24_scc_21_handoff_invariant__full-sa-mcgs-locked.json,long20,24,large (20-34),cuad,scc_21,cuad_handoff_invariant_payment_status_critical,34
Full SA-MCGS (locked main),full-sa-mcgs-locked,35_cuad24_scc_21_temporal_gate,35,cuad,scc_21,24,cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5416666666666667,11,,,,261.71732902526855,18,24,32,3,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/35_cuad24_scc_21_temporal_gate__full-sa-mcgs-locked.json,long20,24,large (20-34),cuad,scc_21,cuad_temporal_notice_receipt_gate_critical,35
Full SA-MCGS (locked main),full-sa-mcgs-locked,36_cuad20_scc_28_condition_trigger,36,cuad,scc_28,20,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.55,9,,,,441.9958658218384,18,29,5,1,45,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/36_cuad20_scc_28_condition_trigger__full-sa-mcgs-locked.json,long20,20,large (20-34),cuad,scc_28,cuad_condition_trigger_unconfirmed_exception_critical,36
Full SA-MCGS (locked main),full-sa-mcgs-locked,37_cuad20_scc_28_handoff_invariant,37,cuad,scc_28,20,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.55,9,,,,326.5590741634369,18,23,8,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/37_cuad20_scc_28_handoff_invariant__full-sa-mcgs-locked.json,long20,20,large (20-34),cuad,scc_28,cuad_handoff_invariant_payment_status_critical,37
Full SA-MCGS (locked main),full-sa-mcgs-locked,38_cuad20_scc_28_temporal_gate,38,cuad,scc_28,20,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.55,9,,,,453.64094614982605,18,21,8,1,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/38_cuad20_scc_28_temporal_gate__full-sa-mcgs-locked.json,long20,20,large (20-34),cuad,scc_28,cuad_temporal_notice_receipt_gate_critical,38
Full SA-MCGS (locked main),full-sa-mcgs-locked,39_sec_ex2118_scc_1_handoff_invariant,39,sec_ex21,scc_1,18,sec_handoff_invariant_control_basis_critical,False,True,True,True,0.5,9,,,,199.3287181854248,18,20,11,7,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/39_sec_ex2118_scc_1_handoff_invariant__full-sa-mcgs-locked.json,long20,18,medium (12-18),sec_ex21,scc_1,sec_handoff_invariant_control_basis_critical,39
Full SA-MCGS (locked main),full-sa-mcgs-locked,40_sec_ex2118_scc_7_temporal_gate,40,sec_ex21,scc_7,18,sec_temporal_quarter_close_gate_critical,False,True,True,True,0.5,9,,,,189.38780784606934,18,21,6,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/40_sec_ex2118_scc_7_temporal_gate__full-sa-mcgs-locked.json,long20,18,medium (12-18),sec_ex21,scc_7,sec_temporal_quarter_close_gate_critical,40
