original_path	archived_path	reason
experiments/cross_domain/results/battle_inject_memory_stress_1778573924.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_1778573924.json	old memory_stress explicit/leaky profile; superseded by structural_simple_v1
experiments/cross_domain/results/battle_inject_memory_stress_1778575956.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_1778575956.json	old memory_stress explicit/leaky profile; superseded by structural_simple_v1
experiments/cross_domain/results/battle_inject_memory_stress_1778577960.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_inject_memory_stress_1778577960.json	old memory_stress explicit/leaky profile; superseded by structural_simple_v1
experiments/cross_domain/results/battle_1778339091.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_1778339091.json	old battle/preliminary result; superseded by current critical runs
experiments/cross_domain/results/battle_v2_1778421796.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_v2_1778421796.json	old battle_v2 result; superseded by current critical runs
experiments/cross_domain/results/battle_b60_1778423887.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/battle_b60_1778423887.json	old budget rerun; not final frozen setting
experiments/cross_domain/results/cross_domain_preliminary_1778317791.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/cross_domain_preliminary_1778317791.json	old preliminary cross-domain run; superseded
experiments/cross_domain/results/cross_domain_preliminary_1778319375.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/cross_domain_preliminary_1778319375.json	old preliminary cross-domain run; superseded
experiments/cross_domain/results/cross_domain_preliminary_1778319537.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/cross_domain_preliminary_1778319537.json	old preliminary cross-domain run; superseded
experiments/cross_domain/results/cross_domain_preliminary_1778493250.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/cross_domain_preliminary_1778493250.json	old preliminary cross-domain run; superseded
experiments/cross_domain/results/cross_domain_sim_1778317913.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/cross_domain_sim_1778317913.json	simulation/preliminary run; not paper result
experiments/cross_domain/results/larger_sccs_1778335517.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/larger_sccs_1778335517.json	old larger SCC exploratory run; superseded
experiments/cross_domain/results/wiki_oc_test_1778333840.json	experiments/cross_domain/results/_soft_deleted_20260517/old_prefix_and_smoke/wiki_oc_test_1778333840.json	Wikipedia OC diagnostic; Wikipedia excluded from main results
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_1778588894.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_1778588894.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_1778589744.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_1778589744.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_1778592414.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_1778592414.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_1778657979.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_1778657979.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778592330.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778592330.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778592992.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778592992.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778594683.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778594683.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778595314.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778595314.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778596005.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778596005.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778646099.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778646099.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778646223.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778646223.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778646402.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778646402.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778646650.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778646650.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_naiveonly_1778652713.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_naiveonly_1778652713.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_rankednaive_samcgsonly_1778653231.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_rankednaive_samcgsonly_1778653231.json	old ranked-naive / score-only baseline; known order/parity artifact
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_12_1778659479455_1778659538.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_12_1778659479455_1778659538.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_16_1778659496878_1778659554.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_16_1778659496878_1778659554.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_24_1778659525374_1778659733.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_24_1778659525374_1778659733.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_5_1778659447042_1778659479.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_5_1778659447042_1778659479.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_8_1778659465880_1778659515.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_deepseek-v3_8_1778659465880_1778659515.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_12_1778659474176_1778659533.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_12_1778659474176_1778659533.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_16_1778659487586_1778659526.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_16_1778659487586_1778659526.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_24_1778659515957_1778659557.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_24_1778659515957_1778659557.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_5_1778659428147_1778659465.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_5_1778659428147_1778659465.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_8_1778659454817_1778659474.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_debian_gpt-4o_8_1778659454817_1778659474.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_12_1778659664678_1778659719.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_12_1778659664678_1778659719.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_16_1778659674263_1778659737.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_16_1778659674263_1778659737.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_24_1778659696577_1778659778.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_24_1778659696577_1778659778.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_5_1778659608932_1778659652.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_5_1778659608932_1778659652.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_8_1778659643335_1778659696.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_deepseek-v3_8_1778659643335_1778659696.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_12_1778659652447_1778659664.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_12_1778659652447_1778659664.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_16_1778659665723_1778659731.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_16_1778659665723_1778659731.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_24_1778659678302_1778659746.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_24_1778659678302_1778659746.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_5_1778659593118_1778659608.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_5_1778659593118_1778659608.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_8_1778659611136_1778659643.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_sec_ex21_gpt-4o_8_1778659611136_1778659643.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_12_1778659557472_1778659610.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_12_1778659557472_1778659610.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_16_1778659581529_1778659665.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_16_1778659581529_1778659665.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_24_1778659590833_1778659674.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_24_1778659590833_1778659674.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_5_1778659533863_1778659566.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_5_1778659533863_1778659566.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_8_1778659549930_1778659592.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_deepseek-v3_8_1778659549930_1778659592.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_12_1778659554761_1778659583.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_12_1778659554761_1778659583.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_16_1778659566437_1778659590.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_16_1778659566437_1778659590.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_24_1778659584009_1778659678.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_24_1778659584009_1778659678.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_5_1778659526995_1778659549.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_5_1778659526995_1778659549.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_8_1778659538897_1778659581.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_condition_trigger_rankednaive_naiveonly_condition_trigger_wikipedia_gpt-4o_8_1778659538897_1778659581.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_rankednaive_naiveonly_1778657425.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_direct_mutex_rankednaive_naiveonly_1778657425.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_debian_20260513_1778677670.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_debian_20260513_1778677670.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_debian_20260513_1778677670.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_debian_20260513_1778677670.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_sec_20260513_1778677677.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_sec_20260513_1778677677.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_sec_20260513_1778677677.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_sec_20260513_1778677677.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_wikipedia_20260513_1778677675.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_wikipedia_20260513_1778677675.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_wikipedia_20260513_1778677675.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_c8_wikipedia_20260513_1778677675.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_debian_20260513_1778677265.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_debian_20260513_1778677265.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_sec_20260513_1778677272.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_sec_20260513_1778677272.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_wikipedia_20260513_1778677270.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_full_realtext_wikipedia_20260513_1778677270.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_realtext_debian_20260513_1778674413.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_realtext_debian_20260513_1778674413.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_realtext_sec_20260513_1778674419.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_realtext_sec_20260513_1778674419.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_realtext_wikipedia_20260513_1778674417.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_formal_realtext_wikipedia_20260513_1778674417.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_naiveonly_1778657579.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_naiveonly_1778657579.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_samcgsonly_convergence_debian_gpt4o_b60_20260514_1778721307.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_samcgsonly_convergence_debian_gpt4o_b60_20260514_1778721307.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_rankednaive_samcgsonly_convergence_debian_gpt4o_b60_20260514_1778721307.partial.json	experiments/cross_domain/results/_soft_deleted_20260517/old_ranked_naive/battle_inject_memory_stress_handoff_invariant_rankednaive_samcgsonly_convergence_debian_gpt4o_b60_20260514_1778721307.partial.json	old ranked-naive / naive-only calibration; superseded by direct-subgraph baseline
