variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file
No OC/core signal,no-oc-core-signal,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,60,60,240794,187.8579821586609,19,14,1,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/12_cuad12_scc_50_direct_mutex__no-oc-core-signal.json
No pair closure in final core,no-pair-closure-final-core,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,60,60,241807,190.9107542037964,19,20,1,1,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/12_cuad12_scc_50_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,,,,159.49510192871094,18,15,4,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/13_debian12_scc_8_direct_mutex__full-sa-mcgs-locked.json
Monotone core,monotone-core,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.8333333333333334,2,58,58,142037,118.08068513870239,19,14,2,2,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/13_debian12_scc_8_direct_mutex__monotone-core.json
No OC/core signal,no-oc-core-signal,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,57,57,139980,115.63335180282593,19,12,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/13_debian12_scc_8_direct_mutex__no-oc-core-signal.json
No pair closure in final core,no-pair-closure-final-core,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,57,57,140600,116.55921792984009,19,15,1,3,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/13_debian12_scc_8_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,6,,,,168.7341821193695,18,17,1,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/14_sec_ex2112_scc_2_direct_mutex__full-sa-mcgs-locked.json
Monotone core,monotone-core,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.8181818181818181,2,56,56,83902,106.90242314338684,19,11,1,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/14_sec_ex2112_scc_2_direct_mutex__monotone-core.json
No OC/core signal,no-oc-core-signal,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5454545454545454,5,59,59,88743,110.84213304519653,19,10,0,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/14_sec_ex2112_scc_2_direct_mutex__no-oc-core-signal.json
No pair closure in final core,no-pair-closure-final-core,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5454545454545454,5,56,56,83830,210.84244680404663,19,8,3,1,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/14_sec_ex2112_scc_2_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,,,,191.06909799575806,18,16,2,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/15_bgb11_scc_0_direct_mutex__full-sa-mcgs-locked.json
Monotone core,monotone-core,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.5454545454545454,5,53,54,138317,209.05863785743713,19,18,1,1,1,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/15_bgb11_scc_0_direct_mutex__monotone-core.json
No OC/core signal,no-oc-core-signal,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,58,58,148753,222.2143530845642,19,20,4,3,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/15_bgb11_scc_0_direct_mutex__no-oc-core-signal.json
No pair closure in final core,no-pair-closure-final-core,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,52,52,130629,206.0301592350006,19,17,3,1,1,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_dynamic_gpt4o_b60_ic4_cc4_20260711_main40/results/15_bgb11_scc_0_direct_mutex__no-pair-closure-final-core.json
