case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
51,51_cuad14_scc_8_condition_trigger,gpt-4o,cuad,scc_8,14,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_condition_trigger_critical_b60_1778868240.json,60,295.4224200248718
52,52_cuad14_scc_8_handoff_invariant,gpt-4o,cuad,scc_8,14,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_handoff_invariant_critical_b60_1778868120.json,60,375.4743287563324
53,53_cuad14_scc_8_temporal_gate,gpt-4o,cuad,scc_8,14,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_temporal_gate_critical_b60_1778868182.json,60,342.64556407928467
54,54_cuad12_scc_50_condition_trigger,gpt-4o,cuad,scc_50,12,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_condition_trigger_critical_b60_1778868063.json,60,276.41252398490906
55,55_cuad12_scc_50_handoff_invariant,gpt-4o,cuad,scc_50,12,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_handoff_invariant_critical_b60_1778868034.json,60,298.76992106437683
56,56_cuad12_scc_50_temporal_gate,gpt-4o,cuad,scc_50,12,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_temporal_gate_critical_b60_1778868045.json,59,296.7170157432556
57,57_debian12_scc_8_condition_trigger,gpt-4o,debian,scc_8,12,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_condition_trigger_critical_b60_1778866221.json,55,161.93305087089539
58,58_debian12_scc_8_handoff_invariant,gpt-4o,debian,scc_8,12,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json,59,157.3218810558319
59,59_debian12_scc_8_temporal_gate,gpt-4o,debian,scc_8,12,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_temporal_gate_critical_b60_1778866221.json,55,179.09507584571838
60,60_sec_ex2112_scc_2_condition_trigger,gpt-4o,sec_ex21,scc_2,12,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_condition_trigger_critical_b60_1778867078.json,59,188.22842502593994
61,61_sec_ex2112_scc_4_handoff_invariant,gpt-4o,sec_ex21,scc_4,12,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_handoff_invariant_critical_b60_1778867059.json,59,194.88145780563354
62,62_sec_ex2112_scc_4_temporal_gate,gpt-4o,sec_ex21,scc_4,12,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json,58,206.4426670074463
63,63_bgb11_scc_0_condition_trigger,gpt-4o,bgb,scc_0,11,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_condition_trigger_critical_b60_1778867585.json,56,215.94601607322693
64,64_bgb11_scc_0_handoff_invariant,gpt-4o,bgb,scc_0,11,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_handoff_invariant_critical_b60_1778867550.json,59,238.22163081169128
65,65_bgb11_scc_0_temporal_gate,gpt-4o,bgb,scc_0,11,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_temporal_gate_critical_b60_1778867560.json,55,217.12787127494812
66,66_debian11_scc_23_condition_trigger,gpt-4o,debian,scc_23,11,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_condition_trigger_critical_b60_1778866221.json,49,154.68285489082336
67,67_debian11_scc_23_handoff_invariant,gpt-4o,debian,scc_23,11,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json,57,145.78968214988708
68,68_debian11_scc_23_temporal_gate,gpt-4o,debian,scc_23,11,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_temporal_gate_critical_b60_1778866221.json,57,125.08899092674255
69,69_sec_ex2111_scc_1_temporal_gate,gpt-4o,sec_ex21,scc_1,11,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json,59,180.51474571228027
70,70_sec_ex2111_scc_4_condition_trigger,gpt-4o,sec_ex21,scc_4,11,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_condition_trigger_critical_b60_1778866696.json,60,141.51970195770264
71,71_sec_ex2111_scc_7_handoff_invariant,gpt-4o,sec_ex21,scc_7,11,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_handoff_invariant_critical_b60_1778866663.json,60,179.24570298194885
72,72_sec_ex2110_scc_2_condition_trigger,gpt-4o,sec_ex21,scc_2,10,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json,60,155.39109206199646
73,73_sec_ex2110_scc_2_temporal_gate,gpt-4o,sec_ex21,scc_2,10,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_temporal_gate_critical_b60_1778866646.json,56,135.00312876701355
74,74_sec_ex2110_scc_5_handoff_invariant,gpt-4o,sec_ex21,scc_5,10,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_handoff_invariant_critical_b60_1778866640.json,57,140.745609998703
75,75_bgb9_scc_7_condition_trigger,gpt-4o,bgb,scc_7,9,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_condition_trigger_critical_b60_1778867525.json,60,254.7003529071808
76,76_bgb9_scc_7_handoff_invariant,gpt-4o,bgb,scc_7,9,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json,59,250.99414706230164
77,77_bgb9_scc_7_temporal_gate,gpt-4o,bgb,scc_7,9,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_temporal_gate_critical_b60_1778867502.json,59,236.33411192893982
78,78_sec_ex219_scc_0_handoff_invariant,gpt-4o,sec_ex21,scc_0,9,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_handoff_invariant_critical_b60_1778866228.json,58,163.20630502700806
79,79_sec_ex219_scc_1_temporal_gate,gpt-4o,sec_ex21,scc_1,9,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json,56,185.22025084495544
80,80_sec_ex219_scc_6_condition_trigger,gpt-4o,sec_ex21,scc_6,9,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_condition_trigger_critical_b60_1778866636.json,54,181.25031685829163
