model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,llm_calls,time,result_file
gpt-4o,sec_ex21,scc_1,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,56,185.22025084495544,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json
deepseek-v3,sec_ex21,scc_1,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,55,206.13740992546082,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json
gpt-4o,sec_ex21,scc_6,9,condition_trigger,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,54,181.25031685829163,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_condition_trigger_critical_b60_1778866636.json
deepseek-v3,sec_ex21,scc_6,9,condition_trigger,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,43,167.72564888000488,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_condition_trigger_critical_b60_1778866636.json
gpt-4o,sec_ex21,scc_7,10,direct_mutex,us-cw-515909,us-cw-1020294,,2,60,153.81014728546143,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json
deepseek-v3,sec_ex21,scc_7,10,direct_mutex,us-cw-515909,us-cw-1020294,,2,45,177.17435097694397,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json
gpt-4o,sec_ex21,scc_5,10,handoff_invariant,us-cw-515909,us-cw-1020294,us-cw-515912,2,57,140.745609998703,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_handoff_invariant_critical_b60_1778866640.json
deepseek-v3,sec_ex21,scc_5,10,handoff_invariant,us-cw-515909,us-cw-1020294,us-cw-515912,2,49,209.06529593467712,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_handoff_invariant_critical_b60_1778866640.json
gpt-4o,sec_ex21,scc_2,10,temporal_gate,us-cw-515909,us-cw-1020294,us-cw-515912,2,56,135.00312876701355,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_temporal_gate_critical_b60_1778866646.json
deepseek-v3,sec_ex21,scc_2,10,temporal_gate,us-cw-515909,us-cw-1020294,us-cw-515912,2,48,187.63142085075378,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_temporal_gate_critical_b60_1778866646.json
gpt-4o,sec_ex21,scc_2,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,60,155.39109206199646,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json
deepseek-v3,sec_ex21,scc_2,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,48,179.69825100898743,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json
gpt-4o,sec_ex21,scc_3,11,direct_mutex,us-cw-406176,us-cw-423245,,2,58,173.62228989601135,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json
deepseek-v3,sec_ex21,scc_3,11,direct_mutex,us-cw-406176,us-cw-423245,,2,57,193.51271510124207,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json
gpt-4o,sec_ex21,scc_7,11,handoff_invariant,us-cw-406176,us-cw-423245,us-cw-74754,2,60,179.24570298194885,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_handoff_invariant_critical_b60_1778866663.json
deepseek-v3,sec_ex21,scc_7,11,handoff_invariant,us-cw-406176,us-cw-423245,us-cw-74754,2,58,183.13605284690857,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_handoff_invariant_critical_b60_1778866663.json
gpt-4o,sec_ex21,scc_1,11,temporal_gate,us-cw-406176,us-cw-423245,us-cw-74754,2,59,180.51474571228027,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json
deepseek-v3,sec_ex21,scc_1,11,temporal_gate,us-cw-406176,us-cw-423245,us-cw-74754,2,56,187.6180989742279,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json
gpt-4o,sec_ex21,scc_4,11,condition_trigger,us-cw-406176,us-cw-423245,us-cw-74754,2,60,141.51970195770264,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_condition_trigger_critical_b60_1778866696.json
deepseek-v3,sec_ex21,scc_4,11,condition_trigger,us-cw-406176,us-cw-423245,us-cw-74754,2,59,197.45678901672363,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_condition_trigger_critical_b60_1778866696.json
gpt-4o,sec_ex21,scc_2,12,direct_mutex,us-cw-708556,us-cw-502062,,2,59,168.7341821193695,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json
deepseek-v3,sec_ex21,scc_2,12,direct_mutex,us-cw-708556,us-cw-502062,,2,60,182.04839396476746,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json
gpt-4o,sec_ex21,scc_4,12,handoff_invariant,us-cw-708556,us-cw-502062,us-cw-911364,2,59,194.88145780563354,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_handoff_invariant_critical_b60_1778867059.json
deepseek-v3,sec_ex21,scc_4,12,handoff_invariant,us-cw-708556,us-cw-502062,us-cw-911364,2,59,165.53941798210144,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_handoff_invariant_critical_b60_1778867059.json
gpt-4o,sec_ex21,scc_4,12,temporal_gate,us-cw-708556,us-cw-502062,us-cw-911364,2,58,206.4426670074463,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json
deepseek-v3,sec_ex21,scc_4,12,temporal_gate,us-cw-708556,us-cw-502062,us-cw-911364,2,58,175.46926426887512,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json
gpt-4o,sec_ex21,scc_2,12,condition_trigger,us-cw-708556,us-cw-502062,us-cw-911364,2,59,188.22842502593994,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_condition_trigger_critical_b60_1778867078.json
deepseek-v3,sec_ex21,scc_2,12,condition_trigger,us-cw-708556,us-cw-502062,us-cw-911364,2,60,173.37467098236084,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_condition_trigger_critical_b60_1778867078.json
gpt-4o,sec_ex21,scc_3,18,direct_mutex,us-cw-841126,us-cw-118216,,2,60,208.34112405776978,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json
deepseek-v3,sec_ex21,scc_3,18,direct_mutex,us-cw-841126,us-cw-118216,,2,58,191.78144311904907,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json
gpt-4o,sec_ex21,scc_1,18,handoff_invariant,us-cw-841126,us-cw-118216,us-cw-130,2,60,199.3287181854248,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_handoff_invariant_critical_b60_1778867131.json
deepseek-v3,sec_ex21,scc_1,18,handoff_invariant,us-cw-841126,us-cw-118216,us-cw-130,2,60,184.53001499176025,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_handoff_invariant_critical_b60_1778867131.json
gpt-4o,sec_ex21,scc_7,18,temporal_gate,us-cw-841126,us-cw-118216,us-cw-130,2,60,189.38780784606934,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json
deepseek-v3,sec_ex21,scc_7,18,temporal_gate,us-cw-841126,us-cw-118216,us-cw-130,2,55,191.8492558002472,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json
gpt-4o,sec_ex21,scc_3,18,condition_trigger,us-cw-841126,us-cw-118216,us-cw-130,2,60,172.44178819656372,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_condition_trigger_critical_b60_1778867137.json
deepseek-v3,sec_ex21,scc_3,18,condition_trigger,us-cw-841126,us-cw-118216,us-cw-130,2,60,178.51519799232483,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_condition_trigger_critical_b60_1778867137.json
gpt-4o,bgb,scc_7,9,direct_mutex,bgb_559e,bgb_558,,2,59,320.4360809326172,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json
deepseek-v3,bgb,scc_7,9,direct_mutex,bgb_559e,bgb_558,,2,57,209.5114266872406,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json
gpt-4o,bgb,scc_7,9,handoff_invariant,bgb_559e,bgb_558,bgb_555d,2,59,250.99414706230164,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json
deepseek-v3,bgb,scc_7,9,handoff_invariant,bgb_559e,bgb_558,bgb_555d,2,60,220.81455516815186,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json
gpt-4o,bgb,scc_7,9,temporal_gate,bgb_559e,bgb_558,bgb_555d,2,59,236.33411192893982,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_temporal_gate_critical_b60_1778867502.json
deepseek-v3,bgb,scc_7,9,temporal_gate,bgb_559e,bgb_558,bgb_555d,2,60,218.8130111694336,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_temporal_gate_critical_b60_1778867502.json
gpt-4o,bgb,scc_7,9,condition_trigger,bgb_559e,bgb_558,bgb_555d,2,60,254.7003529071808,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_condition_trigger_critical_b60_1778867525.json
deepseek-v3,bgb,scc_7,9,condition_trigger,bgb_559e,bgb_558,bgb_555d,2,60,230.2155246734619,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_condition_trigger_critical_b60_1778867525.json
gpt-4o,bgb,scc_0,11,direct_mutex,bgb_311a,bgb_280,,2,52,191.06909799575806,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_direct_mutex_critical_b60_1778867548.json
deepseek-v3,bgb,scc_0,11,direct_mutex,bgb_311a,bgb_280,,2,59,194.86444091796875,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_direct_mutex_critical_b60_1778867548.json
gpt-4o,bgb,scc_0,11,handoff_invariant,bgb_311a,bgb_280,bgb_347,2,59,238.22163081169128,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_handoff_invariant_critical_b60_1778867550.json
deepseek-v3,bgb,scc_0,11,handoff_invariant,bgb_311a,bgb_280,bgb_347,2,57,191.68804001808167,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_handoff_invariant_critical_b60_1778867550.json
gpt-4o,bgb,scc_0,11,temporal_gate,bgb_311a,bgb_280,bgb_347,2,55,217.12787127494812,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_temporal_gate_critical_b60_1778867560.json
deepseek-v3,bgb,scc_0,11,temporal_gate,bgb_311a,bgb_280,bgb_347,2,60,199.50358176231384,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_temporal_gate_critical_b60_1778867560.json
gpt-4o,bgb,scc_0,11,condition_trigger,bgb_311a,bgb_280,bgb_347,2,56,215.94601607322693,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_condition_trigger_critical_b60_1778867585.json
deepseek-v3,bgb,scc_0,11,condition_trigger,bgb_311a,bgb_280,bgb_347,2,60,198.51953268051147,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_condition_trigger_critical_b60_1778867585.json
gpt-4o,bgb,scc_3,25,direct_mutex,bgb_505,bgb_491,,2,56,218.2566032409668,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_direct_mutex_critical_b60_1778867640.json
deepseek-v3,bgb,scc_3,25,direct_mutex,bgb_505,bgb_491,,2,58,219.57248783111572,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_direct_mutex_critical_b60_1778867640.json
gpt-4o,bgb,scc_3,25,handoff_invariant,bgb_505,bgb_491,bgb_514,2,57,272.30370688438416,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_handoff_invariant_critical_b60_1778867646.json
deepseek-v3,bgb,scc_3,25,handoff_invariant,bgb_505,bgb_491,bgb_514,2,57,210.2216968536377,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_handoff_invariant_critical_b60_1778867646.json
gpt-4o,bgb,scc_3,25,temporal_gate,bgb_505,bgb_491,bgb_514,2,57,253.14490604400635,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_temporal_gate_critical_b60_1778867723.json
