case_order,case_id,model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,source_result_file,old_llm_calls,old_time_sec
11,011_gpt-4o_debian12_scc_8_handoff_invariant,gpt-4o,debian,scc_8,12,handoff_invariant,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json,59,157.3218810558319
12,012_deepseek-v3_debian12_scc_8_handoff_invariant,deepseek-v3,debian,scc_8,12,handoff_invariant,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json,56,227.21209025382996
13,013_gpt-4o_debian12_scc_8_temporal_gate,gpt-4o,debian,scc_8,12,temporal_gate,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_temporal_gate_critical_b60_1778866221.json,55,179.09507584571838
14,014_deepseek-v3_debian12_scc_8_temporal_gate,deepseek-v3,debian,scc_8,12,temporal_gate,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_temporal_gate_critical_b60_1778866221.json,59,197.15979981422424
15,015_gpt-4o_debian12_scc_8_condition_trigger,gpt-4o,debian,scc_8,12,condition_trigger,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_condition_trigger_critical_b60_1778866221.json,55,161.93305087089539
16,016_deepseek-v3_debian12_scc_8_condition_trigger,deepseek-v3,debian,scc_8,12,condition_trigger,libecore-x1,libecore-input1,libevas1-engines-x,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_condition_trigger_critical_b60_1778866221.json,56,189.2787380218506
17,017_gpt-4o_sec_ex219_scc_5_direct_mutex,gpt-4o,sec_ex21,scc_5,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json,58,144.61453700065613
18,018_deepseek-v3_sec_ex219_scc_5_direct_mutex,deepseek-v3,sec_ex21,scc_5,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json,51,175.47548007965088
19,019_gpt-4o_sec_ex219_scc_0_handoff_invariant,gpt-4o,sec_ex21,scc_0,9,handoff_invariant,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_handoff_invariant_critical_b60_1778866228.json,58,163.20630502700806
20,020_deepseek-v3_sec_ex219_scc_0_handoff_invariant,deepseek-v3,sec_ex21,scc_0,9,handoff_invariant,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_handoff_invariant_critical_b60_1778866228.json,56,157.9819107055664
21,021_gpt-4o_sec_ex219_scc_1_temporal_gate,gpt-4o,sec_ex21,scc_1,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json,56,185.22025084495544
22,022_deepseek-v3_sec_ex219_scc_1_temporal_gate,deepseek-v3,sec_ex21,scc_1,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json,55,206.13740992546082
23,023_gpt-4o_sec_ex219_scc_6_condition_trigger,gpt-4o,sec_ex21,scc_6,9,condition_trigger,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_condition_trigger_critical_b60_1778866636.json,54,181.25031685829163
24,024_deepseek-v3_sec_ex219_scc_6_condition_trigger,deepseek-v3,sec_ex21,scc_6,9,condition_trigger,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_condition_trigger_critical_b60_1778866636.json,43,167.72564888000488
25,025_gpt-4o_sec_ex2110_scc_7_direct_mutex,gpt-4o,sec_ex21,scc_7,10,direct_mutex,us-cw-515909,us-cw-1020294,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json,60,153.81014728546143
26,026_deepseek-v3_sec_ex2110_scc_7_direct_mutex,deepseek-v3,sec_ex21,scc_7,10,direct_mutex,us-cw-515909,us-cw-1020294,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json,45,177.17435097694397
27,027_gpt-4o_sec_ex2110_scc_5_handoff_invariant,gpt-4o,sec_ex21,scc_5,10,handoff_invariant,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_handoff_invariant_critical_b60_1778866640.json,57,140.745609998703
28,028_deepseek-v3_sec_ex2110_scc_5_handoff_invariant,deepseek-v3,sec_ex21,scc_5,10,handoff_invariant,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_handoff_invariant_critical_b60_1778866640.json,49,209.06529593467712
29,029_gpt-4o_sec_ex2110_scc_2_temporal_gate,gpt-4o,sec_ex21,scc_2,10,temporal_gate,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_temporal_gate_critical_b60_1778866646.json,56,135.00312876701355
30,030_deepseek-v3_sec_ex2110_scc_2_temporal_gate,deepseek-v3,sec_ex21,scc_2,10,temporal_gate,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_temporal_gate_critical_b60_1778866646.json,48,187.63142085075378
31,031_gpt-4o_sec_ex2110_scc_2_condition_trigger,gpt-4o,sec_ex21,scc_2,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json,60,155.39109206199646
32,032_deepseek-v3_sec_ex2110_scc_2_condition_trigger,deepseek-v3,sec_ex21,scc_2,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json,48,179.69825100898743
33,033_gpt-4o_sec_ex2111_scc_3_direct_mutex,gpt-4o,sec_ex21,scc_3,11,direct_mutex,us-cw-406176,us-cw-423245,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json,58,173.62228989601135
34,034_deepseek-v3_sec_ex2111_scc_3_direct_mutex,deepseek-v3,sec_ex21,scc_3,11,direct_mutex,us-cw-406176,us-cw-423245,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json,57,193.51271510124207
35,035_gpt-4o_sec_ex2111_scc_7_handoff_invariant,gpt-4o,sec_ex21,scc_7,11,handoff_invariant,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_handoff_invariant_critical_b60_1778866663.json,60,179.24570298194885
36,036_deepseek-v3_sec_ex2111_scc_7_handoff_invariant,deepseek-v3,sec_ex21,scc_7,11,handoff_invariant,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_handoff_invariant_critical_b60_1778866663.json,58,183.13605284690857
37,037_gpt-4o_sec_ex2111_scc_1_temporal_gate,gpt-4o,sec_ex21,scc_1,11,temporal_gate,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json,59,180.51474571228027
38,038_deepseek-v3_sec_ex2111_scc_1_temporal_gate,deepseek-v3,sec_ex21,scc_1,11,temporal_gate,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json,56,187.6180989742279
39,039_gpt-4o_sec_ex2111_scc_4_condition_trigger,gpt-4o,sec_ex21,scc_4,11,condition_trigger,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_condition_trigger_critical_b60_1778866696.json,60,141.51970195770264
40,040_deepseek-v3_sec_ex2111_scc_4_condition_trigger,deepseek-v3,sec_ex21,scc_4,11,condition_trigger,us-cw-406176,us-cw-423245,us-cw-74754,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_condition_trigger_critical_b60_1778866696.json,59,197.45678901672363
41,041_gpt-4o_sec_ex2112_scc_2_direct_mutex,gpt-4o,sec_ex21,scc_2,12,direct_mutex,us-cw-708556,us-cw-502062,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json,59,168.7341821193695
42,042_deepseek-v3_sec_ex2112_scc_2_direct_mutex,deepseek-v3,sec_ex21,scc_2,12,direct_mutex,us-cw-708556,us-cw-502062,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json,60,182.04839396476746
43,043_gpt-4o_sec_ex2112_scc_4_handoff_invariant,gpt-4o,sec_ex21,scc_4,12,handoff_invariant,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_handoff_invariant_critical_b60_1778867059.json,59,194.88145780563354
44,044_deepseek-v3_sec_ex2112_scc_4_handoff_invariant,deepseek-v3,sec_ex21,scc_4,12,handoff_invariant,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_handoff_invariant_critical_b60_1778867059.json,59,165.53941798210144
45,045_gpt-4o_sec_ex2112_scc_4_temporal_gate,gpt-4o,sec_ex21,scc_4,12,temporal_gate,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json,58,206.4426670074463
46,046_deepseek-v3_sec_ex2112_scc_4_temporal_gate,deepseek-v3,sec_ex21,scc_4,12,temporal_gate,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json,58,175.46926426887512
47,047_gpt-4o_sec_ex2112_scc_2_condition_trigger,gpt-4o,sec_ex21,scc_2,12,condition_trigger,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_condition_trigger_critical_b60_1778867078.json,59,188.22842502593994
48,048_deepseek-v3_sec_ex2112_scc_2_condition_trigger,deepseek-v3,sec_ex21,scc_2,12,condition_trigger,us-cw-708556,us-cw-502062,us-cw-911364,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_condition_trigger_critical_b60_1778867078.json,60,173.37467098236084
49,049_gpt-4o_sec_ex2118_scc_3_direct_mutex,gpt-4o,sec_ex21,scc_3,18,direct_mutex,us-cw-841126,us-cw-118216,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json,60,208.34112405776978
50,050_deepseek-v3_sec_ex2118_scc_3_direct_mutex,deepseek-v3,sec_ex21,scc_3,18,direct_mutex,us-cw-841126,us-cw-118216,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json,58,191.78144311904907
51,051_gpt-4o_sec_ex2118_scc_1_handoff_invariant,gpt-4o,sec_ex21,scc_1,18,handoff_invariant,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_handoff_invariant_critical_b60_1778867131.json,60,199.3287181854248
52,052_deepseek-v3_sec_ex2118_scc_1_handoff_invariant,deepseek-v3,sec_ex21,scc_1,18,handoff_invariant,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_handoff_invariant_critical_b60_1778867131.json,60,184.53001499176025
53,053_gpt-4o_sec_ex2118_scc_7_temporal_gate,gpt-4o,sec_ex21,scc_7,18,temporal_gate,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json,60,189.38780784606934
54,054_deepseek-v3_sec_ex2118_scc_7_temporal_gate,deepseek-v3,sec_ex21,scc_7,18,temporal_gate,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json,55,191.8492558002472
55,055_gpt-4o_sec_ex2118_scc_3_condition_trigger,gpt-4o,sec_ex21,scc_3,18,condition_trigger,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_condition_trigger_critical_b60_1778867137.json,60,172.44178819656372
56,056_deepseek-v3_sec_ex2118_scc_3_condition_trigger,deepseek-v3,sec_ex21,scc_3,18,condition_trigger,us-cw-841126,us-cw-118216,us-cw-130,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_condition_trigger_critical_b60_1778867137.json,60,178.51519799232483
57,057_gpt-4o_bgb9_scc_7_direct_mutex,gpt-4o,bgb,scc_7,9,direct_mutex,bgb_559e,bgb_558,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json,59,320.4360809326172
58,058_deepseek-v3_bgb9_scc_7_direct_mutex,deepseek-v3,bgb,scc_7,9,direct_mutex,bgb_559e,bgb_558,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json,57,209.5114266872406
59,059_gpt-4o_bgb9_scc_7_handoff_invariant,gpt-4o,bgb,scc_7,9,handoff_invariant,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json,59,250.99414706230164
60,060_deepseek-v3_bgb9_scc_7_handoff_invariant,deepseek-v3,bgb,scc_7,9,handoff_invariant,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json,60,220.81455516815186
61,061_gpt-4o_bgb9_scc_7_temporal_gate,gpt-4o,bgb,scc_7,9,temporal_gate,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_temporal_gate_critical_b60_1778867502.json,59,236.33411192893982
62,062_deepseek-v3_bgb9_scc_7_temporal_gate,deepseek-v3,bgb,scc_7,9,temporal_gate,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_temporal_gate_critical_b60_1778867502.json,60,218.8130111694336
63,063_gpt-4o_bgb9_scc_7_condition_trigger,gpt-4o,bgb,scc_7,9,condition_trigger,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_condition_trigger_critical_b60_1778867525.json,60,254.7003529071808
64,064_deepseek-v3_bgb9_scc_7_condition_trigger,deepseek-v3,bgb,scc_7,9,condition_trigger,bgb_559e,bgb_558,bgb_555d,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_condition_trigger_critical_b60_1778867525.json,60,230.2155246734619
65,065_gpt-4o_bgb11_scc_0_direct_mutex,gpt-4o,bgb,scc_0,11,direct_mutex,bgb_311a,bgb_280,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_direct_mutex_critical_b60_1778867548.json,52,191.06909799575806
66,066_deepseek-v3_bgb11_scc_0_direct_mutex,deepseek-v3,bgb,scc_0,11,direct_mutex,bgb_311a,bgb_280,,2,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_direct_mutex_critical_b60_1778867548.json,59,194.86444091796875
