variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file,subset,canonical_scc_size,canonical_scc_size_bin,canonical_domain,canonical_scc_id,canonical_template,canonical_case_order
No relation-first memory,no-relation-first-memory,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,True,True,0.5294117647058824,8,60,60,224743,177.95495128631592,0,29,3,5,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/09_cuad17_scc_0_direct_mutex__no-relation-first-memory.json,main20,17,medium (12-18),cuad,scc_0,cuad_direct_no_fee_vs_fee_critical,9
Random local-window selection,random-local-window-selection,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,False,False,0.5294117647058824,8,60,63,234932,189.08905172348022,0,36,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/09_cuad17_scc_0_direct_mutex__random-local-window-selection.json,main20,17,medium (12-18),cuad,scc_0,cuad_direct_no_fee_vs_fee_critical,9
Full SA-MCGS (locked main),full-sa-mcgs-locked,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,,,,275.76619577407837,18,25,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__full-sa-mcgs-locked.json,main20,16,medium (12-18),cuad,scc_23,cuad_direct_no_fee_vs_fee_critical,10
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.8125,3,60,62,266222,192.46548700332642,19,0,0,2,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__no-critical-pair-ledger-revisit.json,main20,16,medium (12-18),cuad,scc_23,cuad_direct_no_fee_vs_fee_critical,10
No relation-first memory,no-relation-first-memory,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,60,66,296200,236.57912921905518,0,23,2,2,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__no-relation-first-memory.json,main20,16,medium (12-18),cuad,scc_23,cuad_direct_no_fee_vs_fee_critical,10
Random local-window selection,random-local-window-selection,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,60,60,254922,178.1768980026245,0,27,2,2,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__random-local-window-selection.json,main20,16,medium (12-18),cuad,scc_23,cuad_direct_no_fee_vs_fee_critical,10
Full SA-MCGS (locked main),full-sa-mcgs-locked,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,7,,,,296.60127997398376,18,21,2,1,14,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__full-sa-mcgs-locked.json,main20,14,medium (12-18),cuad,scc_8,cuad_direct_no_fee_vs_fee_critical,11
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.6428571428571428,5,60,60,231672,205.19468092918396,19,0,0,2,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__no-critical-pair-ledger-revisit.json,main20,14,medium (12-18),cuad,scc_8,cuad_direct_no_fee_vs_fee_critical,11
No relation-first memory,no-relation-first-memory,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,7,60,62,239906,219.7896020412445,0,27,4,4,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__no-relation-first-memory.json,main20,14,medium (12-18),cuad,scc_8,cuad_direct_no_fee_vs_fee_critical,11
Random local-window selection,random-local-window-selection,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,7,60,62,236348,228.5254499912262,0,28,1,2,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__random-local-window-selection.json,main20,14,medium (12-18),cuad,scc_8,cuad_direct_no_fee_vs_fee_critical,11
Full SA-MCGS (locked main),full-sa-mcgs-locked,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,,,,275.5985231399536,18,18,2,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__full-sa-mcgs-locked.json,main20,12,medium (12-18),cuad,scc_50,cuad_direct_no_fee_vs_fee_critical,12
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.75,3,60,63,251530,202.58331608772278,19,0,0,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__no-critical-pair-ledger-revisit.json,main20,12,medium (12-18),cuad,scc_50,cuad_direct_no_fee_vs_fee_critical,12
No relation-first memory,no-relation-first-memory,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,60,61,237510,182.28582000732422,0,19,3,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__no-relation-first-memory.json,main20,12,medium (12-18),cuad,scc_50,cuad_direct_no_fee_vs_fee_critical,12
Random local-window selection,random-local-window-selection,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,60,64,238586,213.90321898460388,0,18,4,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__random-local-window-selection.json,main20,12,medium (12-18),cuad,scc_50,cuad_direct_no_fee_vs_fee_critical,12
Full SA-MCGS (locked main),full-sa-mcgs-locked,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,,,,159.49510192871094,18,15,4,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__full-sa-mcgs-locked.json,main20,12,medium (12-18),debian,scc_8,debian_direct_legacy_vs_new_abi_critical,13
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.75,3,57,57,142489,127.84325504302979,19,0,0,1,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__no-critical-pair-ledger-revisit.json,main20,12,medium (12-18),debian,scc_8,debian_direct_legacy_vs_new_abi_critical,13
