case_order,case_id,model,domain,scc_size,scale,template,invalid_output,root_at_3,risk_any,risk_all,compression,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec
49,049_gpt-4o_cuad16_scc_23_direct_mutex,gpt-4o,cuad,16,medium,direct_mutex,False,True,True,True,0.5,16,17,46679,30243,76922,187.11875009536743
50,050_gpt-4o_cuad16_scc_23_handoff_invariant,gpt-4o,cuad,16,medium,handoff_invariant,False,True,True,True,0.5,16,18,49307,30285,79592,201.95797109603882
51,051_gpt-4o_cuad16_scc_23_temporal_gate,gpt-4o,cuad,16,medium,temporal_gate,False,True,True,True,0.5,16,17,46734,30010,76744,181.98420572280884
52,052_gpt-4o_cuad16_scc_23_condition_trigger,gpt-4o,cuad,16,medium,condition_trigger,False,True,True,True,0.5,16,16,43841,27999,71840,180.1439712047577
53,053_gpt-4o_cuad17_scc_0_direct_mutex,gpt-4o,cuad,17,medium,direct_mutex,False,False,True,False,0.5294117647058824,17,17,40116,25437,65553,166.02852582931519
54,054_gpt-4o_cuad17_scc_0_handoff_invariant,gpt-4o,cuad,17,medium,handoff_invariant,False,True,True,False,0.5294117647058824,17,17,40250,25372,65622,171.12831687927246
55,055_gpt-4o_cuad17_scc_0_temporal_gate,gpt-4o,cuad,17,medium,temporal_gate,False,False,True,False,0.5294117647058824,16,16,37663,23448,61111,149.50485491752625
56,056_gpt-4o_cuad17_scc_0_condition_trigger,gpt-4o,cuad,17,medium,condition_trigger,False,False,True,False,0.5294117647058824,17,17,40287,25857,66144,166.2986011505127
57,057_gpt-4o_cuad18_scc_6_direct_mutex,gpt-4o,cuad,18,medium,direct_mutex,False,True,True,True,0.5,18,21,51050,38161,89211,230.99472403526306
58,058_gpt-4o_cuad18_scc_6_handoff_invariant,gpt-4o,cuad,18,medium,handoff_invariant,False,True,True,False,0.5,18,19,47075,32885,79960,201.09209489822388
59,059_gpt-4o_cuad18_scc_6_temporal_gate,gpt-4o,cuad,18,medium,temporal_gate,False,True,True,False,0.5,18,19,46704,34062,80766,204.87826704978943
60,060_gpt-4o_cuad18_scc_6_condition_trigger,gpt-4o,cuad,18,medium,condition_trigger,False,True,True,False,0.5,18,22,55650,40371,96021,250.76371097564697
61,061_gpt-4o_cuad20_scc_28_direct_mutex,gpt-4o,cuad,20,medium,direct_mutex,False,False,True,False,0.55,19,22,56553,36666,93219,504.4883041381836
62,062_gpt-4o_cuad20_scc_28_handoff_invariant,gpt-4o,cuad,20,medium,handoff_invariant,False,True,False,False,0.55,20,24,63923,41183,105106,535.3711311817169
63,063_gpt-4o_cuad20_scc_28_temporal_gate,gpt-4o,cuad,20,medium,temporal_gate,False,False,True,False,0.55,20,20,53923,34046,87969,500.1517310142517
64,064_gpt-4o_cuad20_scc_28_condition_trigger,gpt-4o,cuad,20,medium,condition_trigger,False,True,True,False,0.55,20,21,56055,36859,92914,510.2805860042572
65,065_gpt-4o_cuad24_scc_21_direct_mutex,gpt-4o,cuad,24,large,direct_mutex,False,True,True,True,0.5416666666666667,24,24,45264,36025,81289,218.62803101539612
66,066_gpt-4o_cuad24_scc_21_handoff_invariant,gpt-4o,cuad,24,large,handoff_invariant,False,True,True,False,0.5416666666666667,24,25,46944,38828,85772,237.08299589157104
67,067_gpt-4o_cuad24_scc_21_temporal_gate,gpt-4o,cuad,24,large,temporal_gate,False,True,True,False,0.5416666666666667,24,25,46969,38816,85785,224.7596390247345
68,068_gpt-4o_cuad24_scc_21_condition_trigger,gpt-4o,cuad,24,large,condition_trigger,False,True,True,False,0.5416666666666667,24,26,48715,38009,86724,227.5202443599701
69,069_gpt-4o_cuad25_scc_17_direct_mutex,gpt-4o,cuad,25,large,direct_mutex,False,False,True,True,0.52,25,27,68240,47698,115938,285.24941301345825
70,070_gpt-4o_cuad25_scc_17_handoff_invariant,gpt-4o,cuad,25,large,handoff_invariant,False,True,True,True,0.52,25,31,80618,55613,136231,333.14929580688477
71,071_gpt-4o_cuad25_scc_17_temporal_gate,gpt-4o,cuad,25,large,temporal_gate,False,True,True,True,0.52,25,31,79596,55106,134702,344.44537687301636
72,072_gpt-4o_cuad25_scc_17_condition_trigger,gpt-4o,cuad,25,large,condition_trigger,False,True,True,True,0.52,25,25,64093,44600,108693,251.65705704689026
73,073_gpt-4o_cuad28_scc_39_direct_mutex,gpt-4o,cuad,28,large,direct_mutex,False,True,True,False,0.5357142857142857,28,29,60272,48967,109239,275.6286427974701
74,074_gpt-4o_cuad28_scc_39_handoff_invariant,gpt-4o,cuad,28,large,handoff_invariant,False,True,True,False,0.5357142857142857,27,28,58515,47093,105608,266.279257774353
75,075_gpt-4o_cuad28_scc_39_temporal_gate,gpt-4o,cuad,28,large,temporal_gate,False,True,True,False,0.5357142857142857,28,31,64702,51355,116057,295.5204930305481
76,076_gpt-4o_cuad28_scc_39_condition_trigger,gpt-4o,cuad,28,large,condition_trigger,False,False,True,False,0.5357142857142857,28,30,63009,50044,113053,297.92740988731384
77,077_gpt-4o_cuad34_scc_11_direct_mutex,gpt-4o,cuad,34,large,direct_mutex,False,True,True,False,0.5294117647058824,34,36,83417,64407,147824,374.7739131450653
78,078_gpt-4o_cuad34_scc_11_handoff_invariant,gpt-4o,cuad,34,large,handoff_invariant,False,True,True,False,0.5294117647058824,33,40,94048,71617,165665,412.9120168685913
79,079_gpt-4o_cuad34_scc_11_temporal_gate,gpt-4o,cuad,34,large,temporal_gate,False,True,True,False,0.5294117647058824,34,39,90459,70117,160576,419.44891715049744
80,080_gpt-4o_cuad34_scc_11_condition_trigger,gpt-4o,cuad,34,large,condition_trigger,False,True,True,False,0.5294117647058824,34,37,85927,63871,149798,383.27994894981384
81,081_gemini-2.5-pro_debian11_scc_23_direct_mutex,gemini-2.5-pro,debian,11,small,direct_mutex,False,True,True,True,0.5454545454545454,8,15,25091,23722,48813,311.9225618839264
82,082_gemini-2.5-pro_debian11_scc_23_handoff_invariant,gemini-2.5-pro,debian,11,small,handoff_invariant,False,True,True,True,0.5454545454545454,10,20,34152,31661,65813,374.0704619884491
83,083_gemini-2.5-pro_sec_ex219_scc_3_direct_mutex,gemini-2.5-pro,sec_ex21,12,small,direct_mutex,False,True,True,True,0.5,12,22,21496,36308,57804,415.68824219703674
84,084_gemini-2.5-pro_sec_ex219_scc_2_handoff_invariant,gemini-2.5-pro,sec_ex21,11,small,handoff_invariant,False,True,True,True,0.5454545454545454,8,16,20506,21671,42177,251.92915296554565
85,085_gemini-2.5-pro_debian11_scc_23_temporal_gate,gemini-2.5-pro,debian,11,small,temporal_gate,False,False,True,True,0.5454545454545454,11,14,23681,18737,42418,278.9070317745209
86,086_gemini-2.5-pro_debian11_scc_23_condition_trigger,gemini-2.5-pro,debian,11,small,condition_trigger,False,True,True,True,0.5454545454545454,10,18,31923,26887,58810,306.78782415390015
87,087_gemini-2.5-pro_debian12_scc_8_temporal_gate,gemini-2.5-pro,debian,12,small,temporal_gate,False,False,True,False,0.5,11,16,28409,23908,52317,305.57134890556335
88,088_gemini-2.5-pro_debian12_scc_8_condition_trigger,gemini-2.5-pro,debian,12,small,condition_trigger,False,True,True,True,0.5,12,18,32840,25039,57879,305.76552295684814
89,089_gemini-2.5-pro_sec_ex219_scc_7_temporal_gate,gemini-2.5-pro,sec_ex21,11,small,temporal_gate,False,True,True,True,0.5454545454545454,10,18,16063,28080,44143,307.171541929245
90,090_gemini-2.5-pro_sec_ex219_scc_6_condition_trigger,gemini-2.5-pro,sec_ex21,11,small,condition_trigger,False,True,True,True,0.5454545454545454,11,21,20094,32048,52142,383.50305914878845
91,091_gemini-2.5-pro_sec_ex2110_scc_2_temporal_gate,gemini-2.5-pro,sec_ex21,11,small,temporal_gate,False,True,True,True,0.5454545454545454,8,10,13251,9625,22876,125.97863698005676
92,092_gemini-2.5-pro_sec_ex2110_scc_5_condition_trigger,gemini-2.5-pro,sec_ex21,10,small,condition_trigger,False,True,True,True,0.5,10,15,13411,20215,33626,245.5776801109314
93,093_gemini-2.5-pro_sec_ex2111_scc_3_temporal_gate,gemini-2.5-pro,sec_ex21,12,small,temporal_gate,False,True,True,True,0.5,12,19,18731,28007,46738,303.56829595565796
94,094_gemini-2.5-pro_sec_ex2111_scc_3_condition_trigger,gemini-2.5-pro,sec_ex21,12,small,condition_trigger,False,True,True,True,0.5,12,23,23120,35901,59021,411.19634103775024
95,095_gemini-2.5-pro_sec_ex2112_scc_5_temporal_gate,gemini-2.5-pro,sec_ex21,10,small,temporal_gate,False,True,True,True,0.5,10,17,15154,24521,39675,308.83990120887756
96,096_gemini-2.5-pro_sec_ex2112_scc_1_condition_trigger,gemini-2.5-pro,sec_ex21,9,small,condition_trigger,False,True,True,True,0.4444444444444444,9,12,11005,16800,27805,183.94366908073425
97,097_gemini-2.5-pro_sec_ex2118_scc_1_temporal_gate,gemini-2.5-pro,sec_ex21,9,small,temporal_gate,False,True,True,True,0.4444444444444444,9,17,15467,25523,40990,384.0318899154663
98,098_gemini-2.5-pro_sec_ex2118_scc_2_condition_trigger,gemini-2.5-pro,sec_ex21,11,small,condition_trigger,False,True,True,False,0.5454545454545454,8,19,24874,28370,53244,331.33145332336426
99,099_gemini-2.5-pro_bgb9_scc_7_temporal_gate,gemini-2.5-pro,bgb,9,small,temporal_gate,False,True,True,True,0.4444444444444444,9,14,40731,20733,61464,255.05003595352173
100,100_gemini-2.5-pro_bgb9_scc_7_condition_trigger,gemini-2.5-pro,bgb,9,small,condition_trigger,False,True,True,True,0.4444444444444444,9,16,43932,24481,68413,296.2230989933014
101,101_gemini-2.5-pro_bgb11_scc_0_temporal_gate,gemini-2.5-pro,bgb,11,small,temporal_gate,False,True,True,True,0.5454545454545454,11,21,37225,33714,70939,402.0611000061035
102,102_gemini-2.5-pro_bgb11_scc_0_condition_trigger,gemini-2.5-pro,bgb,11,small,condition_trigger,False,True,True,True,0.5454545454545454,11,13,22733,14498,37231,176.62906694412231
103,103_gemini-2.5-pro_bgb25_scc_3_temporal_gate,gemini-2.5-pro,bgb,25,large,temporal_gate,False,True,True,True,0.52,24,46,144000,67658,211658,846.2421109676361
104,104_gemini-2.5-pro_bgb25_scc_3_condition_trigger,gemini-2.5-pro,bgb,25,large,condition_trigger,False,True,True,True,0.52,24,38,117569,56187,173756,708.3608801364899
105,105_gemini-2.5-pro_cuad12_scc_50_temporal_gate,gemini-2.5-pro,cuad,12,small,temporal_gate,False,True,True,True,0.5,11,21,59865,36407,96272,412.9912528991699
106,106_gemini-2.5-pro_cuad12_scc_50_condition_trigger,gemini-2.5-pro,cuad,12,small,condition_trigger,False,True,True,True,0.5,11,19,55144,32143,87287,368.3495168685913
107,107_gemini-2.5-pro_cuad14_scc_8_temporal_gate,gemini-2.5-pro,cuad,14,medium,temporal_gate,False,True,True,True,0.5,13,20,53752,33687,87439,383.7227408885956
108,108_gemini-2.5-pro_cuad14_scc_8_condition_trigger,gemini-2.5-pro,cuad,14,medium,condition_trigger,False,True,True,True,0.5,13,21,58171,33181,91352,371.67762899398804
109,109_gemini-2.5-pro_cuad16_scc_23_temporal_gate,gemini-2.5-pro,cuad,16,medium,temporal_gate,False,True,True,True,0.5,12,21,69903,36808,106711,423.81739687919617
110,110_gemini-2.5-pro_cuad16_scc_23_condition_trigger,gemini-2.5-pro,cuad,16,medium,condition_trigger,False,True,True,True,0.5,12,14,47029,21904,68933,254.0306429862976
111,111_gemini-2.5-pro_cuad17_scc_0_temporal_gate,gemini-2.5-pro,cuad,17,medium,temporal_gate,False,True,True,True,0.5294117647058824,14,21,62262,31832,94094,355.0816569328308
112,112_gemini-2.5-pro_cuad17_scc_0_condition_trigger,gemini-2.5-pro,cuad,17,medium,condition_trigger,False,True,True,True,0.5294117647058824,13,19,54482,24403,78885,283.40964102745056
113,113_gemini-2.5-pro_cuad18_scc_6_temporal_gate,gemini-2.5-pro,cuad,18,medium,temporal_gate,False,True,True,True,0.5,17,33,113920,55814,169734,596.4567952156067
114,114_gemini-2.5-pro_cuad18_scc_6_condition_trigger,gemini-2.5-pro,cuad,18,medium,condition_trigger,False,True,True,True,0.5,17,37,128913,64531,193444,725.6231110095978
115,115_gemini-2.5-pro_cuad20_scc_28_temporal_gate,gemini-2.5-pro,cuad,20,medium,temporal_gate,False,False,True,True,0.55,16,32,102852,52909,155761,610.2174887657166
116,116_gemini-2.5-pro_cuad20_scc_28_condition_trigger,gemini-2.5-pro,cuad,20,medium,condition_trigger,False,False,True,False,0.55,16,27,84356,43847,128203,485.4014537334442
117,117_gemini-2.5-pro_cuad24_scc_21_temporal_gate,gemini-2.5-pro,cuad,24,large,temporal_gate,False,True,True,True,0.5416666666666667,18,25,56827,36688,93515,402.43300104141235
118,118_gemini-2.5-pro_cuad24_scc_21_condition_trigger,gemini-2.5-pro,cuad,24,large,condition_trigger,False,True,True,True,0.5416666666666667,18,29,64334,41222,105556,471.1219458580017
119,119_gemini-2.5-pro_cuad25_scc_17_temporal_gate,gemini-2.5-pro,cuad,25,large,temporal_gate,False,True,True,True,0.52,22,29,90914,40147,131061,451.0929889678955
120,120_gemini-2.5-pro_cuad25_scc_17_condition_trigger,gemini-2.5-pro,cuad,25,large,condition_trigger,False,True,True,True,0.52,22,35,110430,54356,164786,685.2922699451447
121,121_gemini-2.5-pro_cuad28_scc_39_temporal_gate,gemini-2.5-pro,cuad,28,large,temporal_gate,False,True,True,False,0.5357142857142857,24,32,81984,41976,123960,497.9464750289917
122,122_gemini-2.5-pro_cuad28_scc_39_condition_trigger,gemini-2.5-pro,cuad,28,large,condition_trigger,False,False,True,False,0.5357142857142857,24,30,77704,38389,116093,459.01186299324036
123,123_gemini-2.5-pro_cuad34_scc_11_temporal_gate,gemini-2.5-pro,cuad,34,large,temporal_gate,False,True,True,True,0.5294117647058824,32,47,133024,65546,198570,776.8249080181122
124,124_gemini-2.5-pro_cuad34_scc_11_condition_trigger,gemini-2.5-pro,cuad,34,large,condition_trigger,False,True,True,True,0.5294117647058824,32,52,146801,75206,222007,894.0411038398743
125,125_gemini-2.5-pro_debian12_scc_8_direct_mutex,gemini-2.5-pro,debian,12,small,direct_mutex,False,True,True,True,0.5,10,12,21837,14436,36273,161.4859471321106
126,126_gemini-2.5-pro_debian12_scc_8_handoff_invariant,gemini-2.5-pro,debian,12,small,handoff_invariant,False,True,True,True,0.5,12,22,39206,36039,75245,391.2285141944885
127,127_gemini-2.5-pro_sec_ex2110_scc_3_direct_mutex,gemini-2.5-pro,sec_ex21,12,small,direct_mutex,False,True,True,True,0.5,12,25,24505,42437,66942,472.7126910686493
128,128_gemini-2.5-pro_sec_ex2110_scc_4_handoff_invariant,gemini-2.5-pro,sec_ex21,18,medium,handoff_invariant,False,True,True,True,0.5,18,38,48165,61370,109535,744.1102077960968
129,129_gemini-2.5-pro_sec_ex2111_scc_0_direct_mutex,gemini-2.5-pro,sec_ex21,12,small,direct_mutex,False,True,True,True,0.5,12,21,17949,28031,45980,331.93799662590027
130,130_gemini-2.5-pro_sec_ex2111_scc_6_handoff_invariant,gemini-2.5-pro,sec_ex21,11,small,handoff_invariant,False,True,True,True,0.5454545454545454,11,20,19009,29525,48534,325.3730869293213
131,131_gemini-2.5-pro_sec_ex2112_scc_0_direct_mutex,gemini-2.5-pro,sec_ex21,12,small,direct_mutex,False,True,True,True,0.5,12,22,20315,30921,51236,338.0094211101532
132,132_gemini-2.5-pro_sec_ex2112_scc_0_handoff_invariant,gemini-2.5-pro,sec_ex21,12,small,handoff_invariant,False,True,True,True,0.5,12,18,15564,24003,39567,284.1439492702484
133,133_gemini-2.5-pro_sec_ex2118_scc_3_direct_mutex,gemini-2.5-pro,sec_ex21,12,small,direct_mutex,False,True,True,True,0.5,12,24,23779,40241,64020,432.0502860546112
134,134_gemini-2.5-pro_sec_ex2118_scc_2_handoff_invariant,gemini-2.5-pro,sec_ex21,11,small,handoff_invariant,False,True,True,False,0.5454545454545454,8,19,24275,33584,57859,417.1742877960205
135,135_gemini-2.5-pro_bgb9_scc_7_direct_mutex,gemini-2.5-pro,bgb,9,small,direct_mutex,False,True,True,True,0.4444444444444444,8,13,35333,17417,52750,230.08845901489258
136,136_gemini-2.5-pro_bgb9_scc_7_handoff_invariant,gemini-2.5-pro,bgb,9,small,handoff_invariant,False,True,True,True,0.4444444444444444,9,16,44477,23936,68413,340.884535074234
137,137_gemini-2.5-pro_bgb11_scc_0_direct_mutex,gemini-2.5-pro,bgb,11,small,direct_mutex,False,True,True,True,0.5454545454545454,11,18,31471,24284,55755,314.59385108947754
138,138_gemini-2.5-pro_bgb11_scc_0_handoff_invariant,gemini-2.5-pro,bgb,11,small,handoff_invariant,False,True,True,True,0.5454545454545454,11,18,32297,28352,60649,342.13969016075134
139,139_gemini-2.5-pro_bgb25_scc_3_direct_mutex,gemini-2.5-pro,bgb,25,large,direct_mutex,False,True,True,True,0.52,24,44,134258,65168,199426,857.8729588985443
140,140_gemini-2.5-pro_bgb25_scc_3_handoff_invariant,gemini-2.5-pro,bgb,25,large,handoff_invariant,False,True,True,True,0.52,24,48,148415,75454,223869,1004.8886210918427
141,141_gemini-2.5-pro_cuad12_scc_50_direct_mutex,gemini-2.5-pro,cuad,12,small,direct_mutex,False,True,True,True,0.5,11,19,54768,32285,87053,365.9966552257538
142,142_gemini-2.5-pro_cuad12_scc_50_handoff_invariant,gemini-2.5-pro,cuad,12,small,handoff_invariant,False,True,True,True,0.5,11,23,63579,41166,104745,474.8521091938019
143,143_gemini-2.5-pro_cuad14_scc_8_direct_mutex,gemini-2.5-pro,cuad,14,medium,direct_mutex,False,True,True,True,0.5,13,25,66929,45025,111954,492.76004815101624
144,144_gemini-2.5-pro_cuad14_scc_8_handoff_invariant,gemini-2.5-pro,cuad,14,medium,handoff_invariant,False,False,True,True,0.5,13,28,76903,50139,127042,580.6104192733765
145,145_gemini-2.5-pro_cuad16_scc_23_direct_mutex,gemini-2.5-pro,cuad,16,medium,direct_mutex,False,True,True,True,0.5,12,18,58210,27472,85682,307.98762798309326
146,146_gemini-2.5-pro_cuad16_scc_23_handoff_invariant,gemini-2.5-pro,cuad,16,medium,handoff_invariant,False,True,True,True,0.5,12,23,74704,37951,112655,404.49482011795044
147,147_gemini-2.5-pro_cuad17_scc_0_direct_mutex,gemini-2.5-pro,cuad,17,medium,direct_mutex,False,True,True,True,0.5294117647058824,14,20,58626,29340,87966,314.0040280818939
148,148_gemini-2.5-pro_cuad17_scc_0_handoff_invariant,gemini-2.5-pro,cuad,17,medium,handoff_invariant,False,True,True,True,0.5294117647058824,14,25,73157,40097,113254,504.26763796806335
149,149_gemini-2.5-pro_cuad18_scc_6_direct_mutex,gemini-2.5-pro,cuad,18,medium,direct_mutex,False,True,True,True,0.5,17,25,84665,34785,119450,381.95937991142273
150,150_gemini-2.5-pro_cuad18_scc_6_handoff_invariant,gemini-2.5-pro,cuad,18,medium,handoff_invariant,False,False,True,True,0.5,17,29,97405,48480,145885,544.0125849246979
151,151_gemini-2.5-pro_cuad20_scc_28_direct_mutex,gemini-2.5-pro,cuad,20,medium,direct_mutex,False,False,True,False,0.55,16,28,91795,48243,140038,574.681694984436
