method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
GraphRAG-style LEA,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,20,20,50126,15569,65695,71.59911704063416,False,False,True,False,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/05_cuad24_scc_21_direct_mutex__lea.json
"Full-SCC Naive, single attempt",large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,1,1,35518,2998,38516,9.263747930526733,False,False,True,False,0.9166666666666666,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/05_cuad24_scc_21_direct_mutex__naive-single.json
SA-MCGS,large,05_cuad24_scc_21_direct_mutex,cuad,24,1,1,50,50,117266,41524,158790,184.65199899673462,False,False,True,True,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/05_cuad24_scc_21_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,06_cuad20_scc_28_direct_mutex,cuad,20,1,1,16,16,56130,13232,69362,64.91186308860779,False,False,True,False,0.55,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/06_cuad20_scc_28_direct_mutex__lea.json
"Full-SCC Naive, single attempt",medium,06_cuad20_scc_28_direct_mutex,cuad,20,1,1,1,1,52685,4708,57393,14.861732959747314,False,False,True,False,0.85,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/06_cuad20_scc_28_direct_mutex__naive-single.json
SA-MCGS,medium,06_cuad20_scc_28_direct_mutex,cuad,20,1,1,38,38,131696,31021,162717,149.03541684150696,False,True,True,True,0.8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/06_cuad20_scc_28_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,07_cuad18_scc_6_direct_mutex,cuad,18,1,1,17,17,62634,15281,77915,74.33564305305481,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/07_cuad18_scc_6_direct_mutex__lea.json
"Full-SCC Naive, single attempt",medium,07_cuad18_scc_6_direct_mutex,cuad,18,1,1,1,1,62261,4793,67054,17.43177890777588,False,False,True,False,0.8888888888888888,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/07_cuad18_scc_6_direct_mutex__naive-single.json
SA-MCGS,medium,07_cuad18_scc_6_direct_mutex,cuad,18,1,1,49,49,182493,47368,229861,225.72953581809998,False,True,True,True,0.7777777777777778,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/07_cuad18_scc_6_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,08_sec_ex2118_scc_3_direct_mutex,sec_ex21,12,1,1,12,12,14866,6483,21349,33.076627016067505,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/08_sec_ex2118_scc_3_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,08_sec_ex2118_scc_3_direct_mutex,sec_ex21,12,1,1,1,1,3137,1488,4625,4.942996025085449,False,True,True,True,0.8333333333333334,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/08_sec_ex2118_scc_3_direct_mutex__naive-single.json
SA-MCGS,small,08_sec_ex2118_scc_3_direct_mutex,sec_ex21,12,1,1,50,50,63096,25615,88711,134.05660390853882,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/08_sec_ex2118_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,09_cuad17_scc_0_direct_mutex,cuad,17,1,1,14,14,44746,10768,55514,50.58907198905945,False,False,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/09_cuad17_scc_0_direct_mutex__lea.json
"Full-SCC Naive, single attempt",medium,09_cuad17_scc_0_direct_mutex,cuad,17,1,1,1,1,26116,4096,30212,11.852056741714478,False,False,True,False,0.8235294117647058,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/09_cuad17_scc_0_direct_mutex__naive-single.json
SA-MCGS,medium,09_cuad17_scc_0_direct_mutex,cuad,17,1,1,47,47,138239,37046,175285,167.8270571231842,False,True,True,False,0.7058823529411764,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/09_cuad17_scc_0_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,10_cuad16_scc_23_direct_mutex,cuad,16,1,1,12,12,41871,9238,51109,43.98082613945007,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/10_cuad16_scc_23_direct_mutex__lea.json
"Full-SCC Naive, single attempt",medium,10_cuad16_scc_23_direct_mutex,cuad,16,1,1,1,1,35441,2638,38079,8.991708993911743,False,True,True,False,0.875,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/10_cuad16_scc_23_direct_mutex__naive-single.json
SA-MCGS,medium,10_cuad16_scc_23_direct_mutex,cuad,16,1,1,48,48,156953,40948,197901,190.5812108516693,False,True,True,True,0.5625,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/10_cuad16_scc_23_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,11_cuad14_scc_8_direct_mutex,cuad,14,1,1,14,14,41832,12667,54499,58.243232011795044,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/11_cuad14_scc_8_direct_mutex__lea.json
"Full-SCC Naive, single attempt",medium,11_cuad14_scc_8_direct_mutex,cuad,14,1,1,1,1,17168,3061,20229,9.43338131904602,False,True,True,True,0.8571428571428572,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/11_cuad14_scc_8_direct_mutex__naive-single.json
SA-MCGS,medium,11_cuad14_scc_8_direct_mutex,cuad,14,1,1,50,50,141334,45867,187201,213.07156586647034,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/11_cuad14_scc_8_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,12_cuad12_scc_50_direct_mutex,cuad,12,1,1,11,11,34354,10180,44534,53.52546310424805,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/12_cuad12_scc_50_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,12_cuad12_scc_50_direct_mutex,cuad,12,1,1,1,1,13783,1836,15619,6.840979814529419,False,True,False,False,0.9166666666666666,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/12_cuad12_scc_50_direct_mutex__naive-single.json
SA-MCGS,small,12_cuad12_scc_50_direct_mutex,cuad,12,1,1,47,47,157402,43287,200689,208.02140164375305,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/12_cuad12_scc_50_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,13_debian12_scc_8_direct_mutex,debian,12,1,1,10,10,20501,4696,25197,23.738462924957275,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/13_debian12_scc_8_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,13_debian12_scc_8_direct_mutex,debian,12,1,1,1,1,5168,1477,6645,5.004471778869629,False,True,True,True,0.8333333333333334,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/13_debian12_scc_8_direct_mutex__naive-single.json
SA-MCGS,small,13_debian12_scc_8_direct_mutex,debian,12,1,1,42,42,88782,20698,109480,116.45924091339111,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/13_debian12_scc_8_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,14_sec_ex2112_scc_2_direct_mutex,sec_ex21,10,1,1,10,10,11333,5476,16809,27.115296840667725,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/14_sec_ex2112_scc_2_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,14_sec_ex2112_scc_2_direct_mutex,sec_ex21,10,1,1,1,1,1960,1586,3546,6.5347912311553955,False,False,True,False,0.7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/14_sec_ex2112_scc_2_direct_mutex__naive-single.json
SA-MCGS,small,14_sec_ex2112_scc_2_direct_mutex,sec_ex21,10,1,1,40,40,46481,21187,67668,103.06392288208008,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/14_sec_ex2112_scc_2_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,15_bgb11_scc_0_direct_mutex,bgb,11,1,1,11,11,22425,5731,28156,28.537142038345337,False,True,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/15_bgb11_scc_0_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,15_bgb11_scc_0_direct_mutex,bgb,11,1,1,1,1,5110,1528,6638,5.717973947525024,False,False,False,False,0.6363636363636364,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/15_bgb11_scc_0_direct_mutex__naive-single.json
SA-MCGS,small,15_bgb11_scc_0_direct_mutex,bgb,11,1,1,45,45,94302,24507,118809,127.0801420211792,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/15_bgb11_scc_0_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,16_debian11_scc_23_direct_mutex,debian,11,1,1,8,8,14966,3543,18509,23.644835710525513,False,True,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/16_debian11_scc_23_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,16_debian11_scc_23_direct_mutex,debian,11,1,1,1,1,4438,1302,5740,5.425329923629761,False,True,True,True,0.8181818181818181,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/16_debian11_scc_23_direct_mutex__naive-single.json
SA-MCGS,small,16_debian11_scc_23_direct_mutex,debian,11,1,1,43,43,86892,21703,108595,114.16292595863342,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/16_debian11_scc_23_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,17_sec_ex2111_scc_3_direct_mutex,sec_ex21,12,1,1,12,12,14866,6265,21131,33.02449631690979,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/17_sec_ex2111_scc_3_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,17_sec_ex2111_scc_3_direct_mutex,sec_ex21,12,1,1,1,1,3137,1489,4626,5.534567832946777,False,True,True,True,0.8333333333333334,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/17_sec_ex2111_scc_3_direct_mutex__naive-single.json
SA-MCGS,small,17_sec_ex2111_scc_3_direct_mutex,sec_ex21,12,1,1,48,48,61036,26122,87158,136.7933909893036,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/17_sec_ex2111_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,18_sec_ex2110_scc_7_direct_mutex,sec_ex21,9,1,1,9,9,10313,4410,14723,26.812991857528687,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/18_sec_ex2110_scc_7_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,18_sec_ex2110_scc_7_direct_mutex,sec_ex21,9,1,1,1,1,1892,1167,3059,4.117984056472778,False,True,True,True,0.7777777777777778,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/18_sec_ex2110_scc_7_direct_mutex__naive-single.json
SA-MCGS,small,18_sec_ex2110_scc_7_direct_mutex,sec_ex21,9,1,1,40,40,47103,21200,68303,119.40755581855774,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/18_sec_ex2110_scc_7_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,19_bgb9_scc_7_direct_mutex,bgb,9,1,1,8,8,23959,4085,28044,22.582900047302246,False,True,True,False,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/19_bgb9_scc_7_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,19_bgb9_scc_7_direct_mutex,bgb,9,1,1,1,1,6496,1188,7684,4.703330039978027,False,True,True,False,0.6666666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/19_bgb9_scc_7_direct_mutex__naive-single.json
SA-MCGS,small,19_bgb9_scc_7_direct_mutex,bgb,9,1,1,39,39,112745,20654,133399,122.39041018486023,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/19_bgb9_scc_7_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,20_sec_ex219_scc_5_direct_mutex,sec_ex21,12,1,1,12,12,13321,5897,19218,29.614922046661377,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/20_sec_ex219_scc_5_direct_mutex__lea.json
"Full-SCC Naive, single attempt",small,20_sec_ex219_scc_5_direct_mutex,sec_ex21,12,1,1,1,1,2155,1577,3732,5.204485893249512,False,True,True,True,0.6666666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/20_sec_ex219_scc_5_direct_mutex__naive-single.json
SA-MCGS,small,20_sec_ex219_scc_5_direct_mutex,sec_ex21,12,1,1,47,47,52764,24509,77273,121.60692620277405,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/20_sec_ex219_scc_5_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,21_cuad34_scc_11_handoff_invariant,cuad,34,1,1,33,33,102787,26162,128949,123.65152502059937,False,True,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/21_cuad34_scc_11_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",large,21_cuad34_scc_11_handoff_invariant,cuad,34,1,1,1,1,69631,4576,74207,15.60129690170288,False,False,False,False,0.9411764705882353,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/21_cuad34_scc_11_handoff_invariant__naive-single.json
SA-MCGS,large,21_cuad34_scc_11_handoff_invariant,cuad,34,1,1,46,46,145375,37885,183260,183.30930995941162,False,True,True,True,0.8823529411764706,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/21_cuad34_scc_11_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,large,22_cuad28_scc_39_temporal_gate,cuad,28,1,1,26,26,72883,20197,93080,98.88595008850098,False,True,True,True,0.5357142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/22_cuad28_scc_39_temporal_gate__lea.json
"Full-SCC Naive, single attempt",large,22_cuad28_scc_39_temporal_gate,cuad,28,1,1,1,1,46601,3535,50136,12.756664276123047,False,True,True,True,0.9285714285714286,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/22_cuad28_scc_39_temporal_gate__naive-single.json
SA-MCGS,large,22_cuad28_scc_39_temporal_gate,cuad,28,1,1,50,50,134883,39693,174576,196.4012930393219,False,True,True,True,0.7857142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/22_cuad28_scc_39_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,large,23_bgb25_scc_3_condition_trigger,bgb,25,1,1,25,25,84537,13405,97942,75.68423390388489,False,True,True,False,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/23_bgb25_scc_3_condition_trigger__lea.json
"Full-SCC Naive, single attempt",large,23_bgb25_scc_3_condition_trigger,bgb,25,1,1,1,1,17629,2549,20178,9.370112180709839,False,True,True,False,0.84,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/23_bgb25_scc_3_condition_trigger__naive-single.json
SA-MCGS,large,23_bgb25_scc_3_condition_trigger,bgb,25,1,1,41,41,137393,21949,159342,127.09761095046997,False,True,True,True,0.64,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/23_bgb25_scc_3_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,large,24_cuad25_scc_17_handoff_invariant,cuad,25,1,1,24,24,81683,21280,102963,96.55042099952698,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/24_cuad25_scc_17_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",large,24_cuad25_scc_17_handoff_invariant,cuad,25,1,1,1,1,62354,3572,65926,12.611143112182617,False,True,True,True,0.92,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/24_cuad25_scc_17_handoff_invariant__naive-single.json
SA-MCGS,large,24_cuad25_scc_17_handoff_invariant,cuad,25,1,1,50,50,169401,45665,215066,223.29859495162964,False,True,True,True,0.64,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/24_cuad25_scc_17_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,large,25_cuad24_scc_21_temporal_gate,cuad,24,1,1,21,21,52816,16876,69692,72.59506702423096,False,False,True,True,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/25_cuad24_scc_21_temporal_gate__lea.json
"Full-SCC Naive, single attempt",large,25_cuad24_scc_21_temporal_gate,cuad,24,1,1,1,1,35553,4399,39952,15.871747255325317,False,True,True,True,0.8333333333333334,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/25_cuad24_scc_21_temporal_gate__naive-single.json
SA-MCGS,large,25_cuad24_scc_21_temporal_gate,cuad,24,1,1,50,50,118464,41447,159911,190.21212530136108,False,False,True,False,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/25_cuad24_scc_21_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,medium,26_cuad20_scc_28_condition_trigger,cuad,20,1,1,17,17,60750,14470,75220,82.1977379322052,False,True,True,True,0.55,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/26_cuad20_scc_28_condition_trigger__lea.json
"Full-SCC Naive, single attempt",medium,26_cuad20_scc_28_condition_trigger,cuad,20,1,1,1,1,52728,5202,57930,16.27944779396057,False,True,True,True,0.8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/26_cuad20_scc_28_condition_trigger__naive-single.json
SA-MCGS,medium,26_cuad20_scc_28_condition_trigger,cuad,20,1,1,43,43,157572,38530,196102,193.55983686447144,False,True,True,True,0.55,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/26_cuad20_scc_28_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,medium,27_cuad18_scc_6_handoff_invariant,cuad,18,1,1,17,17,62956,15176,78132,77.72281908988953,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/27_cuad18_scc_6_handoff_invariant__lea.json
